"countryorarea","region","lnrchange","lncaseload_lastobs","lnexpo","lnsdi","lnurban","lnp70p","lnhhsn","lnihr2018","lnsqualty","lnhiv","lnasthma","lntraffic","nrows"
"Haiti","Caribbean",0.089801236987114,2.70805025100708,2.39789533615112,-0.843970060348511,-0.597836971282959,0.6931471824646,1.5282279253006,3.66356158256531,3.52636051177979,7.33945941925049,13.6798858642578,NA,812
"Honduras","Central Latin America",0.188822269439697,4.94876003265381,2.99573230743408,-0.510825574398041,-0.597836971282959,1.0986123085022,1.56861591339111,3.52636051177979,3.8712010383606,4.62318706512451,13.1069393157959,12.9287519454956,1
"Hungary","Central Europe",0.244971200823784,6.19847869873047,3.29583692550659,-0.139262065291405,-0.342490345239639,2.56494927406311,0.858661592006683,4.20469284057617,4.4188404083252,2.49517154693604,12.7452840805054,17.2567882537842,1
"Iceland","Western Europe",0.158338353037834,7.03438806533813,3.465735912323,-0.0943106487393379,-0.061875406652689,2.30258512496948,1.180006907098,4.43081665039062,4.57471084594727,4.42682266235352,10.237735748291,15.8721618652344,1001
"India","South Asia",0,7.2420825958252,4.11087369918823,-0.510825574398041,-1.17118299007416,1.3862943649292,1.5644406080246,4.31748819351196,3.76120018959045,4.91584777832031,17.2334804534912,18.9155941009521,1
"Indonesia","Southeast Asia",0.424344927072525,7.33171510696411,3.36729574203491,-0.371063679456711,-0.616186082363129,1.0986123085022,1.57691478729248,4.14313459396362,3.82864141464233,4.83896112442017,16.3498039245605,18.5617809295654,1001
"Iran (Islamic Republic of)","North Africa and Middle East",0.457474052906036,10.7056016921997,3.71357202529907,-0.274436861276627,-0.301105082035065,1.3862943649292,1.39871692657471,4.44265127182007,4.29045963287354,3.12578272819519,15.0028209686279,17.058292388916,1
"Iraq","North Africa and Middle East",0.164272218942642,6.54247188568115,3.58351898193359,-0.510825574398041,-0.35667496919632,0.6931471824646,2.04122018814087,4.40671920776367,3.95124363899231,1.10162210464478,14.6397180557251,14.545503616333,1
"Ireland","Western Europe",0.229919701814651,8.08178424835205,3.43398714065552,-0.0943106487393379,-0.462035477161407,2.19722461700439,1.26694762706757,4.20469284057617,4.5643482208252,4.37417554855347,12.7845630645752,18.9370822906494,1
"Israel","Western Europe",0.271017134189606,8.58634567260742,3.66356158256531,-0.150822877883911,-0.0943106487393379,2.0794415473938,1.14422285556793,4.51085948944092,4.44265127182007,4.86996412277222,13.0484895706177,15.8175811767578,1
"Italy","Western Europe",0.0579235851764679,11.5692300796509,4.09434461593628,-0.139262065291405,-0.35667496919632,2.7725887298584,0.951657831668854,4.44265127182007,4.55387687683105,5.54254913330078,14.5711584091187,17.134428024292,1
"Jamaica","Caribbean",0.0799451097846031,3.58351898193359,2.99573230743408,-0.301105082035065,-0.579818487167358,1.7917594909668,1.35325443744659,4.33073329925537,4.14313459396362,6.47130441665649,12.1584129333496,12.1059818267822,1
"Japan","High-income Asia Pacific",0.163590326905251,7.57712173461914,4.23410654067993,-0.0943106487393379,-0.0833815932273865,2.99573230743408,0.982078492641449,4.44446354079246,4.55387687683105,2.83267068862915,15.5876226425171,18.6548633575439,1001
"Jordan","North Africa and Middle East",0.404744774103165,5.61312818527222,3.33220458030701,-0.314710706472397,-0.105360545217991,0.6931471824646,1.79009139537811,3.8712010383606,4.27666616439819,1.71090078353882,13.3949165344238,15.0345115661621,1
"Kazakhstan","Central Asia",0.132191509008408,5.83773040771484,2.89037179946899,-0.198450952768326,-0.544727206230164,1.3862943649292,1.28370773792267,4.26268005371094,4.27666616439819,4.30438804626465,13.1669950485229,15.7817554473877,1001
"Kenya","Eastern Sub-Saharan Africa",0.212582439184189,4.07753753662109,2.89037179946899,-0.6931471824646,-1.13943433761597,0.6931471824646,1.29198372364044,3.55534815788269,3.68887948989868,8.42603778839111,14.3021078109741,15.5965175628662,1
"Kiribati","Oceania",NA,NA,0,-0.733969211578369,-0.616186082363129,0.6931471824646,1.61988318282366,3.93182563781738,3.29583692550659,1.77197015285492,9.33873748779297,11.1059646606445,1001
"Kuwait","North Africa and Middle East",0.0503172278404236,5.66642665863037,3.58351898193359,-0.105360545217991,0,0.6931471824646,1.61352658498287,4.02535152435303,4.40671920776367,1.959268450737,12.3441200256348,15.6818895339966,1001
"Kyrgyzstan","Central Asia",0.133594170212746,4.67282867431641,2.56494927406311,-0.446287125349045,-1.07880961894989,1.0986123085022,1.52605628967285,4.04305124282837,4.12713432312012,4.5576491355896,12.3591842651367,13.4718914031982,1
"Lao People's Dem. Republic","Southeast Asia",0.0168261472135782,2.19722461700439,1.94591009616852,-0.597836971282959,-1.04982209205627,0.6931471824646,1.75267207622528,3.55534815788269,3.66356158256531,5.08885383605957,12.697772026062,14.0402221679688,1
"Latvia","Eastern Europe",0.386864304542542,5.98645210266113,3.36729574203491,-0.127833381295204,-0.371063679456711,2.63905739784241,0.978326141834259,4.31748819351196,4.40671920776367,5.19646024703979,11.2671804428101,15.2163887023926,1
"Lebanon","North Africa and Middle East",0.297063082456589,6.15273284912109,3.66356158256531,-0.24846139550209,-0.116533830761909,1.3862943649292,1.63098285746574,4.06044292449951,4.46590805053711,3.25512337684631,13.2556676864624,14.9080839157104,1001
"Lesotho","Southern Sub-Saharan Africa",NA,NA,0,-0.597836971282959,-1.27296566963196,1.0986123085022,1.48387467861176,3.49650764465332,3.49650764465332,9.78564643859863,10.9264640808105,NA,1001
"Liberia","Western Sub-Saharan Africa",0,1.0986123085022,2.70805025100708,-1.23787438869476,-0.673344552516937,0.6931471824646,1.59938752651215,3.82864141464233,3.49650764465332,6.74134302139282,11.9294691085815,NA,812
"Libya","North Africa and Middle East",0.0318776518106461,2.30258512496948,1.94591009616852,-0.385662466287613,-0.2231435328722,1.0986123085022,1.71363664793968,3.71357202529907,4.27666616439819,2.89923429489136,12.7230491638184,13.7398748397827,1001
"Lithuania","Eastern Europe",0.156944617629051,6.28599786758423,3.465735912323,-0.162518903613091,-0.400477528572083,2.63905739784241,0.936093330383301,4.40671920776367,4.40671920776367,4.0471625328064,11.4978609085083,10.1670436859131,1
"Luxembourg","Western Europe",0.404744774103165,7.68616247177124,3.43398714065552,-0.0725706815719604,-0.0943106487393379,2.30258512496948,0.87962681055069,4.33073329925537,4.5643482208252,4.71012353897095,10.6136846542358,14.5570201873779,1
"Madagascar","Eastern Sub-Saharan Africa",0.129651010036469,4.04305124282837,2.39789533615112,-0.967584013938904,-0.994252264499664,0,1.59938752651215,3.25809645652771,3.40119743347168,5.13046789169312,14.0651559829712,13.2017107009888,1
"Malawi","Eastern Sub-Saharan Africa",NA,NA,0,-1.10866260528564,-1.77195680141449,0.6931471824646,1.44926917552948,3.7376697063446,3.49650764465332,9.02191257476807,13.5024900436401,9.26340675354004,1001
"Malaysia","Southeast Asia",0.0579235851764679,7.92515754699707,4.18965482711792,-0.2231435328722,-0.287682086229324,1.3862943649292,1.63315439224243,4.55387687683105,4.24849510192871,5.05186462402344,14.0495567321777,17.9178524017334,1
"Maldives","Southeast Asia",0.0374806076288223,2.89037179946899,3.13549423217773,-0.400477528572083,-0.891598105430603,1.0986123085022,1.85002839565277,3.78418970108032,4.27666616439819,1.11265408992767,9.87556171417236,13.9528760910034,1
"Mali","Western Sub-Saharan Africa",0,3.33220458030701,1.7917594909668,-1.3862943649292,-0.867500603199005,0.6931471824646,1.81807672977448,3.89182019233704,3.58351898193359,6.77574253082275,13.3119401931763,NA,812
"Malta","Western Europe",0.239139497280121,5.12989854812622,3.178053855896,-0.18632960319519,-0.0512933060526848,2.56494927406311,1.05082154273987,4.09434461593628,4.51085948944092,4.33768272399902,10.1305379867554,14.7620973587036,1
"Marshall Islands (the)","Oceania",NA,NA,0,-0.478035807609558,-0.261364787817001,0.6931471824646,1.60931998169422,3.89182019233704,3.78418970108032,4.40398788452148,8.50477600097656,10.0987663269043,1001
"Mauritania","Western Sub-Saharan Africa",0.0579235851764679,1.7917594909668,2.83321332931519,-0.867500603199005,-0.616186082363129,0.6931471824646,1.72624799001217,3.25809645652771,3.7376697063446,3.56726264953613,12.0593023300171,13.0268125534058,1001
"Mauritius","Southeast Asia",0.175025001168251,4.96284484863281,2.56494927406311,-0.274436861276627,-0.891598105430603,1.7917594909668,1.24703228473663,4.12713432312012,4.24849510192871,5.68541765213013,11.1422863006592,14.3724317550659,1001
"Mexico","Central Latin America",0.125066965818405,6.99759578704834,3.465735912323,-0.301105082035065,-0.314710706472397,1.60943794250488,1.59533894062042,4.45434713363647,4.20469284057617,5.22402334213257,15.2532901763916,17.9832553863525,1
"Micronesia (Federated States of)","Oceania",NA,NA,0,-0.430782943964005,-1.46967589855194,0.6931471824646,1.51621456712484,3.75730616362427,3.76120018959045,6.49923038482666,9.18181037902832,NA,1001
"Mongolia","Central Asia",0.328940719366074,2.4849066734314,3.04452252388,-0.301105082035065,-0.385662466287613,0.6931471824646,1.46325540542603,4.45434713363647,3.98898410797119,2.7761332988739,11.5658121109009,13.4155702590942,1
"Montenegro","Central Europe",0.173574656248093,4.6913480758667,2.63905739784241,-0.210721030831337,-0.400477528572083,2.19722461700439,1.16627097129822,3.85014748573303,4.40671920776367,2.54787921905518,10.0980291366577,13.2455043792725,1001
"Morocco","North Africa and Middle East",0.377008199691772,6.42486906051636,3.36729574203491,-0.63487833738327,-0.462035477161407,1.3862943649292,1.77495241165161,4.31748819351196,4.09434461593628,3.71689748764038,14.1803245544434,15.9114303588867,1
"Mozambique","Eastern Sub-Saharan Africa",0,2.0794415473938,2.19722461700439,-1.17118299007416,-1.13943433761597,0,1.45161378383636,3.97029185295105,3.43398714065552,9.1615686416626,14.092209815979,13.1995544433594,1
"Myanmar","Southeast Asia",NA,NA,0,-0.562118947505951,-1.23787438869476,1.3862943649292,1.43983507156372,4.18965482711792,3.80666255950928,5.9805703163147,14.6853799819946,15.0415735244751,1
"Namibia","Southern Sub-Saharan Africa",0.140118464827538,2.39789533615112,2.83321332931519,-0.430782943964005,-0.733969211578369,1.0986123085022,1.62136650085449,3.85014748573303,3.82864141464233,9.2503719329834,11.2034492492676,13.309494972229,1
"Nepal","South Asia",0,1.60943794250488,4.18965482711792,-0.776528775691986,-1.60943794250488,1.0986123085022,1.57691478729248,3.13549423217773,3.7376697063446,4.96511125564575,13.7872219085693,15.0085096359253,1
"Netherlands","Western Europe",0.23785825073719,4.27666616439819,2.89037179946899,-0.0943106487393379,-0.0833815932273865,2.56494927406311,0.802001595497131,4.48863649368286,4.57471084594727,4.58149337768555,14.0169324874878,17.599609375,1
"New Zealand","Australasia",0.0729750916361809,6.47234630584717,3.465735912323,-0.105360545217991,-0.150822877883911,2.39789533615112,0.993251800537109,4.49980974197388,4.53259944915771,4.45261907577515,12.6395359039307,16.6632671356201,1001
"Nicaragua","Central Latin America",0.130898669362068,1.60943794250488,2.4849066734314,-0.527632772922516,-0.527632772922516,1.3862943649292,1.6658182144165,4.29045963287354,4.12713432312012,5.5192723274231,12.44797706604,NA,812
"Niger","Western Sub-Saharan Africa",0.141893103718758,3.29583692550659,2.39789533615112,-1.89711999893188,-1.83258152008057,0,1.83577632904053,3.78418970108032,3.36729574203491,5.74066734313965,13.4713010787964,NA,812
"Nigeria","Western Sub-Saharan Africa",0.0990210250020027,4.90527486801147,3.465735912323,-0.6931471824646,-0.6931471824646,0.6931471824646,1.68454539775848,3.95124363899231,3.76120018959045,7.68965244293213,15.6392087936401,15.9158802032471,1
"Norway","Western Europe",0.360818386077881,8.4426851272583,3.52636051177979,-0.0512933060526848,-0.198450952768326,2.39789533615112,0.797507226467133,4.52178859710693,4.57471084594727,4.57004022598267,12.8965167999268,NA,1001
"Oman","North Africa and Middle East",0.140118464827538,5.25749540328979,3.58351898193359,-0.235722303390503,-0.162518903613091,0,2.08193850517273,4.60517024993896,4.35670900344849,4.31123733520508,12.0908336639404,16.1609859466553,1001
